Questions,Answers,Grades,Concatenated_QA,Sentence_Length,Padded_Sentence,Sentence_Length_After_Padding
When do two independent vectors become orthogonal?,when they are perpendicular to each other and dot product of vectors is 0,10.0,When do two independent vectors become orthogonal?-when they are perpendicular to each other and dot product of vectors is 0,20,When do two independent vectors become orthogonal?-when they are perpendicular to each other and dot product of vectors is 0 Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
When do two independent vectors become orthogonal?, Two independent vectors become orthogonal when their dot product is ZERO,10.0,When do two independent vectors become orthogonal?- Two independent vectors become orthogonal when their dot product is ZERO,18,When do two independent vectors become orthogonal?- Two independent vectors become orthogonal when their dot product is ZERO Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",Ignoring the tuple.,0.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Ignoring the tuple.",35,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Ignoring the tuple. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",by the mean height seperately for girls and boys,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-by the mean height seperately for girls and boys",41,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-by the mean height seperately for girls and boys Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",using mean of the collected data,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-using mean of the collected data",38,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-using mean of the collected data Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",mean of heights,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-mean of heights",35,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-mean of heights Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",by taking the average value of the recorded heights,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-by taking the average value of the recorded heights",41,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-by taking the average value of the recorded heights Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...","Remove the height feature if not a crucial feature, else remove the records of students with missing heights",0.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Remove the height feature if not a crucial feature, else remove the records of students with missing heights",50,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Remove the height feature if not a crucial feature, else remove the records of students with missing heights Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",Use the mean values of height of boys and girls respectively,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Use the mean values of height of boys and girls respectively",43,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Use the mean values of height of boys and girls respectively Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",mean,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-mean",33,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-mean Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...","fill automatically with global constants, manually or by ignoring the tuple.",0.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-fill automatically with global constants, manually or by ignoring the tuple.",43,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-fill automatically with global constants, manually or by ignoring the tuple. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",we could fiil in the mean or median in the missing places.,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-we could fiil in the mean or median in the missing places.",44,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-we could fiil in the mean or median in the missing places. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",i would fill the data with mean of the heights of the total class,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-i would fill the data with mean of the heights of the total class",46,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-i would fill the data with mean of the heights of the total class Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",I would fill the missing data with the mean height ,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-I would fill the missing data with the mean height ",43,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-I would fill the missing data with the mean height  Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...","global constant,mean or mode",10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-global constant,mean or mode",36,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-global constant,mean or mode Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",with the mean of the data,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-with the mean of the data",38,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-with the mean of the data Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",we take the mean of the existing values and fill this mean to the empty places,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-we take the mean of the existing values and fill this mean to the empty places",48,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-we take the mean of the existing values and fill this mean to the empty places Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",By filling them with mean value of heights,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-By filling them with mean value of heights",40,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-By filling them with mean value of heights Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",1). ignore the tuple 2). Automatic fill 3). Manual fill,0.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-1). ignore the tuple 2). Automatic fill 3). Manual fill",42,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-1). ignore the tuple 2). Automatic fill 3). Manual fill Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",Mean value of heights,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Mean value of heights",36,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Mean value of heights Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",1 will fill those missing values with mean value of the height.,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-1 will fill those missing values with mean value of the height.",44,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-1 will fill those missing values with mean value of the height. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",I would fill those missing values with mean value of the heights. ,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-I would fill those missing values with mean value of the heights. ",45,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-I would fill those missing values with mean value of the heights.  Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...","X = (mean, interpollate, median, mode ).  applied on the class of the data i.e., X(all boys) if missing data is of boy etc.",10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-X = (mean, interpollate, median, mode ).  applied on the class of the data i.e., X(all boys) if missing data is of boy etc.",57,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-X = (mean, interpollate, median, mode ).  applied on the class of the data i.e., X(all boys) if missing data is of boy etc. Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",Sample Mean of the same class.,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Sample Mean of the same class.",38,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Sample Mean of the same class. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",by taking the average of the heights,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-by taking the average of the heights",39,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-by taking the average of the heights Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",Find the average of the heights and replace it in the missing places,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Find the average of the heights and replace it in the missing places",45,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Find the average of the heights and replace it in the missing places Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",get attribute mean for samples belonging to same class(girls/boys),10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-get attribute mean for samples belonging to same class(girls/boys)",41,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-get attribute mean for samples belonging to same class(girls/boys) Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",The missing data can be filled using the class mean ,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-The missing data can be filled using the class mean ",43,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-The missing data can be filled using the class mean  Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",we can use interpolate and fill it with mean values of data . ,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-we can use interpolate and fill it with mean values of data . ",46,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-we can use interpolate and fill it with mean values of data .  Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",I will fill the missing data with mean height,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-I will fill the missing data with mean height",41,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-I will fill the missing data with mean height Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",Mean,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Mean",33,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Mean Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",Mean of the available values,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Mean of the available values",37,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Mean of the available values Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",Fill it with NaN ,0.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Fill it with NaN ",37,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Fill it with NaN  Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",I would take the mean of all students of the category 'boys' and fill in,5.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-I would take the mean of all students of the category 'boys' and fill in",47,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-I would take the mean of all students of the category 'boys' and fill in Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",i will fill mean of the column or manulay assingn by if condtion if some value for that above one is more fill this or that,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-i will fill mean of the column or manulay assingn by if condtion if some value for that above one is more fill this or that",58,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-i will fill mean of the column or manulay assingn by if condtion if some value for that above one is more fill this or that Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",Mean of all values belonging to same class,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Mean of all values belonging to same class",40,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Mean of all values belonging to same class Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...","with mean , interpolation, mode, previous value or  next value ",10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-with mean , interpolation, mode, previous value or  next value ",44,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-with mean , interpolation, mode, previous value or  next value  Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",mean height,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-mean height",34,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-mean height Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",Find mean of boys and girls seperately and fill missing values,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Find mean of boys and girls seperately and fill missing values",43,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Find mean of boys and girls seperately and fill missing values Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",Mean of the heights,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Mean of the heights",36,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Mean of the heights Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...","By overall mean, sample mean or mode.",10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-By overall mean, sample mean or mode.",39,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-By overall mean, sample mean or mode. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...", attribute  mean  of the class,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...- attribute  mean  of the class",40,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...- attribute  mean  of the class Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...","with the attribute mean of samples that belong to the same class. Here, the classes are boys and girls.",10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-with the attribute mean of samples that belong to the same class. Here, the classes are boys and girls.",51,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-with the attribute mean of samples that belong to the same class. Here, the classes are boys and girls. Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",I would fill the missing data of boys by calculating mean of their heights and similarly calculate mean of heights of girls to fill in their missing data,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-I would fill the missing data of boys by calculating mean of their heights and similarly calculate mean of heights of girls to fill in their missing data",60,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-I would fill the missing data of boys by calculating mean of their heights and similarly calculate mean of heights of girls to fill in their missing data Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",i will fill them with the mean of the available data,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-i will fill them with the mean of the available data",43,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-i will fill them with the mean of the available data Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",fillna function,0.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-fillna function",34,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-fillna function Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...","Using fillna(), we can fill NaN for the missing values alsoWe can also use Mean , Median, Mode way also",10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Using fillna(), we can fill NaN for the missing values alsoWe can also use Mean , Median, Mode way also",52,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Using fillna(), we can fill NaN for the missing values alsoWe can also use Mean , Median, Mode way also Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",filling with mean of non-missing students,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-filling with mean of non-missing students",38,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-filling with mean of non-missing students Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",mean height of class,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-mean height of class",36,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-mean height of class Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...",i will fill the missing value with the mode of given values,10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-i will fill the missing value with the mode of given values",44,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-i will fill the missing value with the mode of given values Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...","attribute mean of heights or global constant ""unknown"".",10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-attribute mean of heights or global constant ""unknown"".",40,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-attribute mean of heights or global constant ""unknown"". Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...","Fill it by using mean,median or mode",10.0,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Fill it by using mean,median or mode",39,"You are provided the height data from all boys and girls in your class. After the data is collected, you observe that height information for some students is missing. How would you fill the missin...-Fill it by using mean,median or mode Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
